Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand
49211896,0.0,0.0,0.0,1.0,-1.0,1.0
49212028,0.0,0.0,0.0,0.0,0.0,1.0
49212025,0.0,0.0,0.0,2.0,-2.0,1.0
49212105,0.0,0.0,0.0,0.0,0.0,1.0
49212093,0.0,0.0,0.0,1.0,-1.0,1.0
49212098,0.0,0.0,0.0,0.0,0.0,1.0
49212117,0.0,0.0,0.0,0.0,0.0,1.0
49212177,0.0,0.0,0.0,1.0,-1.0,1.0
49212280,0.0,0.0,0.0,0.0,0.0,1.0
49212267,0.0,0.0,0.0,1.0,0.0,0.0
49212302,0.0,0.0,0.0,1.0,-1.0,1.0
49212365,0.0,0.0,0.0,0.0,0.0,1.0
49212394,0.0,0.0,0.0,0.0,0.0,1.0
49212422,0.0,0.0,0.0,0.0,0.0,1.0
49212449,0.0,0.0,0.0,1.0,-1.0,1.0
49212450,0.0,0.0,0.0,0.0,0.0,1.0
49212506,0.0,0.0,0.0,2.0,-2.0,1.0
49212487,0.0,0.0,0.0,2.0,0.0,-1.0
49212517,0.0,0.0,0.0,1.0,-1.0,1.0
49212619,0.0,0.0,0.0,0.0,0.0,1.0
49212811,0.0,0.0,0.0,0.0,0.0,1.0
49212919,0.0,0.0,0.0,0.0,0.0,1.0
49212908,0.0,0.0,0.0,0.0,0.0,1.0
49212975,0.0,0.0,0.0,0.0,0.0,1.0
49213067,0.0,0.0,0.0,1.0,-1.0,1.0
49213185,0.0,0.0,0.0,0.0,0.0,1.0
49213199,0.0,0.0,0.0,0.0,0.0,1.0
49213245,0.0,0.0,0.0,1.0,-1.0,1.0
49213280,0.0,0.0,0.0,0.0,0.0,1.0
49213270,0.0,0.0,0.0,2.0,-2.0,1.0
49213406,0.0,0.0,0.0,1.0,-1.0,1.0
49213452,0.0,0.0,0.0,1.0,0.0,0.0
49213516,0.0,0.0,0.0,1.0,-1.0,1.0
49213570,0.0,0.0,0.0,0.0,0.0,1.0
49213640,0.0,0.0,0.0,0.0,0.0,1.0
49213629,0.0,0.0,0.0,0.0,0.0,1.0
49213641,0.0,0.0,0.0,0.0,0.0,1.0
49213672,0.0,0.0,0.0,0.0,0.0,1.0
49213701,0.0,0.0,0.0,0.0,0.0,1.0
49213705,0.0,0.0,0.0,3.0,-2.0,0.0
49213833,0.0,0.0,0.0,0.0,0.0,1.0
49213870,0.0,0.0,0.0,0.0,0.0,1.0
49213929,0.0,0.0,0.0,0.0,0.0,1.0
49213938,0.0,0.0,0.0,0.0,0.0,1.0
49213946,0.0,0.0,0.0,2.0,-2.0,1.0
49214040,0.0,0.0,0.0,0.0,0.0,1.0
49214039,0.0,0.0,0.0,0.0,0.0,1.0
