Event, nTightEle, nTightMu, hasOS, hasOS_ZCand, hasSS_ZCand, nGenMatchedLeptons, nFlips, nJets, nBJets
324348035,2,0,1,1,0,2,0,0,0
324348049,2,0,1,1,0,2,0,1,1
327768898,2,0,1,1,0,2,0,0,0
327768888,2,0,1,1,0,2,0,1,0
327768968,2,0,1,1,0,2,0,0,0
327769041,2,0,1,1,0,2,0,0,0
327769114,2,0,1,1,0,2,0,0,0
327769093,2,0,1,1,0,2,0,2,1
327769134,2,0,1,1,0,2,0,1,0
327769130,2,0,1,1,0,2,0,0,0
327769173,2,0,1,1,0,2,0,0,0
327769195,2,0,1,1,0,2,0,0,0
327769246,2,0,1,1,0,2,0,0,0
327769223,2,0,1,1,0,2,0,0,0
327769235,2,0,1,1,0,2,0,0,0
327769317,2,0,1,1,0,2,0,0,0
327769340,2,0,1,1,0,2,0,0,0
327769358,2,0,1,1,0,2,0,0,0
327769378,2,0,1,1,0,2,0,1,1
327769387,2,0,1,1,0,2,0,0,0
327769424,2,0,1,1,0,2,0,0,0
327769533,2,0,1,1,0,2,0,1,0
327769529,2,0,1,1,0,2,0,1,0
327769549,2,0,1,1,0,2,0,0,0
327769604,2,0,1,1,0,2,0,1,1
327769649,2,0,1,1,0,2,0,0,0
327769666,2,0,1,1,0,2,0,2,0
327769711,2,0,1,1,0,2,0,0,0
327769788,2,0,1,1,0,2,0,0,0
327769791,2,0,1,1,0,2,0,2,0
327769836,2,0,1,1,0,2,0,0,0
327769863,2,0,1,1,0,2,0,0,0
327769897,2,0,1,1,0,2,0,1,1
327769923,2,0,1,1,0,1,0,0,0
327769962,2,0,1,1,0,2,0,0,0
327769963,2,0,1,1,0,2,0,0,0
327769976,2,0,1,1,0,2,0,0,0
327770065,2,0,1,1,0,2,0,1,0
327770098,2,0,1,1,0,2,0,0,0
327770167,2,0,1,1,0,2,0,0,0
327770189,2,0,1,1,0,2,0,0,0
327770240,2,0,1,1,0,2,0,1,0
327770307,2,0,1,1,0,2,0,1,0
327770387,2,0,1,1,0,2,0,0,0
327770410,2,0,1,1,0,2,0,2,1
327770459,2,0,1,1,0,2,0,0,0
327770536,2,0,1,1,0,2,0,0,0
327770563,2,0,1,1,0,2,0,0,0
327770581,2,0,1,1,0,2,0,0,0
327770615,2,0,1,1,0,2,0,0,0
327770604,2,0,1,1,0,2,0,1,1
327770620,2,0,1,1,0,2,0,0,0
327770646,2,0,1,1,0,2,0,0,0
327770665,2,0,1,1,0,2,0,1,0
327770723,2,0,1,1,0,2,0,0,0
327770804,2,0,1,1,0,2,0,3,1
327770880,2,0,1,1,0,2,0,0,0
327770866,2,0,1,1,0,2,0,0,0
327770917,2,0,1,1,0,2,0,0,0
327770930,2,0,1,1,0,2,0,0,0
327770991,2,0,1,1,0,2,0,3,0
327770999,2,0,1,1,0,2,0,2,1
327771044,2,0,1,1,0,2,0,0,0
327771079,2,0,1,1,0,2,0,0,0
327771113,2,0,1,1,0,2,0,0,0
327771173,2,0,1,1,0,2,0,0,0
327771245,2,0,1,1,0,2,0,1,0
327771361,2,0,1,1,0,2,0,0,0
327771454,2,0,1,1,0,2,0,1,0
327771502,2,0,1,1,0,2,0,0,0
327771558,2,0,1,1,0,2,0,0,0
327771529,2,0,1,1,0,2,0,1,0
327771556,2,0,1,1,0,2,0,0,0
327771540,2,0,1,1,0,2,0,0,0
327771567,2,0,1,1,0,2,0,2,0
327771627,2,0,1,1,0,2,0,0,0
327771641,2,0,1,1,0,2,0,0,0
327771663,2,0,1,1,0,2,0,0,0
